split_id,uptake_regime,baseline_policy,metric,adaptive_value,baseline_value,diff_adaptive_minus_baseline,direction
formal_mainline_medium_seed1,medium,mainline_optimized_m,home_share,0.444444,0.470133,-0.025688,baseline_better
formal_mainline_medium_seed1,medium,mainline_optimized_m,meeting_point_uptake_rate,0.131730,0.046460,0.085269,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_m,service_time_total,176496.000000,194548.200000,-18052.200000,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,net_profit,-177000.695321,-199933.200000,22932.504679,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,operational_cost,176496.000000,199933.200000,-23437.200000,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,total_cost,178140.695321,199933.200000,-21792.504679,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,acceptance_rate,0.576174,0.491131,0.085043,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,served_rate,0.576174,0.491131,0.085043,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,optout_rate,0.423826,0.508869,-0.085043,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,home_share,0.444444,0.467849,-0.023405,baseline_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,meeting_point_uptake_rate,0.131730,0.023282,0.108448,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_mw,service_time_total,176496.000000,199933.200000,-23437.200000,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,net_profit,-177000.695321,-177000.695321,0.000000,tie
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,operational_cost,176496.000000,176496.000000,0.000000,tie
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,total_cost,178140.695321,178140.695321,0.000000,tie
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,acceptance_rate,0.576174,0.576174,0.000000,tie
